Randoplh32,Region,Glacier_Na,CentLAT,CentLON
RGI32-01.17666,Alaska-Yukon,4*9CAR15,61.0760989999999,-139.970001
RGI32-01.17668,Alaska-Yukon,4*9CAP11,60.9761999999999,-139.494994999999
RGI32-01.17685,Alaska-Yukon,4*9CAP58,61.105801,-139.557007
RGI32-01.17693,Alaska-Yukon,4*9CAN13,61.2449,-139.406005999999
RGI32-01.17698,Alaska-Yukon,StClare44*9CBE36,61.2854,-140.354004
RGI32-01.17699,Alaska-Yukon,MountWoodA,61.307499,-140.516007
RGI32-01.17700,Alaska-Yukon,4*9CBE34,61.313301,-140.238007
RGI32-01.17703,Alaska-Yukon,4*9CBE33,61.3270989999999,-140.233002
RGI32-01.17713,Alaska-Yukon,CementB4*9CAT13,61.3236009999999,-140.041
RGI32-01.17714,Alaska-Yukon,CementA4*9CAT15,61.324001,-140.082992999999
RGI32-01.17715,Alaska-Yukon,4*9CAS27,61.237301,-140.110992
RGI32-01.17716,Alaska-Yukon,Gibson,61.232101,-140.087006
RGI32-01.17717,Alaska-Yukon,Moffat,61.215698,-140.029007
RGI32-01.17719,Alaska-Yukon,4*9CAS96,61.236099,-140.360992
RGI32-01.17720,Alaska-Yukon,TrapridgeHyena4*9CAS93,61.2224009999999,-140.354004
RGI32-01.17721,Alaska-Yukon,4*9CAS98,61.2477,-140.419006
RGI32-01.17728,Alaska-Yukon,4*9CAS16,61.260502,-139.985001
RGI32-01.17729,Alaska-Yukon,4*9CAS109,61.308399,-140.139998999999
RGI32-01.17731,Alaska-Yukon,WolverineCreekA,61.4095,-140.076996
RGI32-01.17732,Alaska-Yukon,wolverineCreekB,61.4243999999999,-140.119994999999
RGI32-01.17734,Alaska-Yukon,CongruentE4*9CAS9,61.228901,-139.899993999999
RGI32-01.17738,Alaska-Yukon,4*9CAS20,61.2276,-140.014998999999
RGI32-01.17739,Alaska-Yukon,CongruentD4*9CAS11,61.2223019999999,-139.957000999999
RGI32-01.17742,Alaska-Yukon,4*9CAS101,61.273701,-140.432007
RGI32-01.17744,Alaska-Yukon,4*9CBE29,61.3008999999999,-140.210997999999
RGI32-01.17747,Alaska-Yukon,4*9CAQ100,60.978802,-139.824997
RGI32-01.17753,Alaska-Yukon,4*9CAM119,60.9266009999999,-138.975998
RGI32-01.17755,Alaska-Yukon,UnnamedPA1969125,61.009701,-139.466003
RGI32-01.17756,Alaska-Yukon,4*9CAP53,61.0882989999999,-139.559998
RGI32-01.17771,Alaska-Yukon,4*9CAR84,61.1683999999999,-139.843002
RGI32-01.17775,Alaska-Yukon,4*9CAS3,61.2655979999999,-139.811004999999
RGI32-01.17779,Alaska-Yukon,Rusty(Fox)4*9CAS91,61.2002979999999,-140.302001999999
RGI32-01.17782,Alaska-Yukon,4*9CAS35,61.0973019999999,-140.098007
RGI32-01.17789,Alaska-Yukon,Dyke4*8ABO63,59.8198009999999,-137.860992
RGI32-01.17803,Alaska-Yukon,4*8ABO53,59.9226,-137.764998999999
RGI32-01.17808,Alaska-Yukon,4*8ABD66,59.9337999999999,-138.156005999999
RGI32-01.17816,Alaska-Yukon,4*8ABO5,60.002701,-137.671997
RGI32-01.17830,Alaska-Yukon,4*8ABN123,60.0406989999999,-137.735992
RGI32-01.17840,Alaska-Yukon,4*8ABN112,60.106098,-137.736999999999
RGI32-01.17843,Alaska-Yukon,4*8ABN105,60.0679019999999,-137.667999
RGI32-01.17845,Alaska-Yukon,4*8ABN108,60.073399,-137.733002
RGI32-01.17867,Alaska-Yukon,4*8ABF25,60.2268979999999,-138.197005999999
RGI32-01.17872,Alaska-Yukon,4*9CAL147,60.855099,-138.977996999999
RGI32-01.17873,Alaska-Yukon,4*9CAL149,60.8838009999999,-138.988998
RGI32-01.17874,Alaska-Yukon,4*9CAN105,60.9072,-139.059998
RGI32-01.17886,Alaska-Yukon,4*9CAN56,61.014999,-139.188004
RGI32-01.17887,Alaska-Yukon,4*9CAN88,60.9957009999999,-139.218994
RGI32-01.17888,Alaska-Yukon,4*9CAO112,60.9602999999999,-139.464003999999
RGI32-01.17889,Alaska-Yukon,4*9CAO111,60.9504999999999,-139.494002999999
RGI32-01.17892,Alaska-Yukon,4*9CAO72,60.9039989999999,-139.352996999999
RGI32-01.17899,Alaska-Yukon,4*9CAO110,60.9453999999999,-139.520996
RGI32-01.17900,Alaska-Yukon,4*9CAP3,60.974899,-139.423995999999
RGI32-01.17901,Alaska-Yukon,4*9CAN90,60.9830019999999,-139.197005999999
RGI32-01.17905,Alaska-Yukon,Kluane(lil)West4*9CAP26,61.029099,-139.477996999999
RGI32-01.17912,Alaska-Yukon,4*9CBE35,61.2960009999999,-140.281005999999
