rgi_id,o1region,o2region,glims_id,anlys_id,subm_id,src_date,primeclass,conn_lvl,glac_name,is_rgi6,cenlon,cenlat,termlon,termlat,area_km2,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_deg,lmax_m,surge_type
RGI2000-v7.0-G-01-03964,01,01-02,G208521E62952N,396703,624,2010-09-12T00:00:00,0,0,,1,-151.47734852307693,62.951553000000004,,,0.504911865010549,,,,,,,,3.0
RGI2000-v7.0-G-01-03979,01,01-02,G208674E63022N,396779,624,2010-09-12T00:00:00,0,0,,1,-151.32585412935862,63.021637,,,0.053855315507401,,,,,,,,3.0
RGI2000-v7.0-G-01-03980,01,01-02,G208668E63028N,396777,624,2010-09-12T00:00:00,0,0,,1,-151.3309622523446,63.027853,,,0.40936509031196,,,,,,,,3.0
RGI2000-v7.0-G-01-03981,01,01-02,G208653E63029N,396768,624,2010-09-12T00:00:00,0,0,,1,-151.34673070942029,63.029789,,,1.251452464661939,,,,,,,,3.0
RGI2000-v7.0-G-01-03982,01,01-02,G208647E63019N,396765,624,2010-09-12T00:00:00,0,0,,1,-151.35397593374307,63.0189395,,,0.401163236998249,,,,,,,,3.0
RGI2000-v7.0-G-01-03983,01,01-02,G208639E63040N,396762,624,2010-09-12T00:00:00,0,0,,1,-151.36151022922485,63.040212,,,0.13671266444461,,,,,,,,3.0
RGI2000-v7.0-G-01-03984,01,01-02,G208626E63045N,396758,624,2010-09-12T00:00:00,0,0,,1,-151.37511748952096,63.0444965,,,0.166097856660805,,,,,,,,3.0
RGI2000-v7.0-G-01-03985,01,01-02,G208580E63019N,396732,624,2010-09-12T00:00:00,0,0,Foraker Glacier,1,-151.42296211841762,63.0438535,,,57.7896445178497,,,,,,,,3.0
RGI2000-v7.0-G-01-03986,01,01-02,G208596E63025N,396741,624,2010-09-12T00:00:00,0,0,,1,-151.40436124812834,63.02628,,,0.793259245691468,,,,,,,,3.0
RGI2000-v7.0-G-01-03987,01,01-02,G208581E63023N,396735,624,2010-09-12T00:00:00,0,0,,1,-151.4197198888889,63.024082,,,0.274734414647022,,,,,,,,3.0
RGI2000-v7.0-G-01-03988,01,01-02,G208565E63003N,396723,624,2010-09-12T00:00:00,0,0,,1,-151.4358964682837,63.002757,,,0.254997887773549,,,,,,,,3.0
RGI2000-v7.0-G-01-03989,01,01-02,G208573E63001N,396728,624,2010-09-12T00:00:00,0,0,,1,-151.42633694588744,63.001650999999995,,,0.249279078387637,,,,,,,,3.0
